# NCBI Primer-BLAST DISLAMA HARITASI  (2026-08-10)
# Neden: genel organizma kisitiyla (Bacteria OR Archaea OR Fungi)
# Primer-BLAST bulunan HER urunu "target templates" hanesine koyuyor,
# "unintended" bolumu bos kaliyor. 22 sayfanin 22'sinde olculdu.
# Cozum: hedefin KENDI taksonunu ENTREZ_QUERY ile disla; o zaman
# kalan her urun tanimi geregi hedef disidir.
# Bos taxid = dislama uygulanmaz ve o hedef SINANMADI yazilir.
# Birden cok taxid virgulle yazilir: her biri ayri bir NOT terimi olur.
# EVRENSEL primerlerde de dislama YAPILIR: alani disla, kalan her urun
# gercek hedef disidir (bakteri primerinin kloroplast tutmasi gibi).
# ANAHTARLAR SIPARIS_LISTESI.tsv icindeki hedef adiyla BIREBIR ayni olmali;
# tutmayan anahtar sessizce SINANMADI uretir (2026-08-10 iki tanesinde oldu).
# TAXID'LER NCBI Taxonomy'den DOGRULANDI (2026-08-10).
# KURAL: dislanacak takson hedefin ADINA gore degil, OLCULEN KIMLIGE gore
# secilir ve olculen kimligi ICEREN en dar taksona cikilir. Ad ile olculen
# kimlik bu projede 100 kutunun 78'inde ayrisiyor; adi esas almak hedefin
# kendisini dislamamaya ve kendi vuruslarini hedef disi saymaya yol acar.
hedef	taxid	gerekce
Proteiniphilum_cinsi	294702	Proteiniphilum cinsi, NCBI Taxonomy
Bacteroidales_kumesi	171549	Bacteroidales takimi, NCBI Taxonomy
Microascaceae_askomikot	5593	Microascaceae ailesi - DOGRULANDI 2026-08-10 (34468 gecersiz)
Petriella_musispora	42313	Petriella cinsi - DOGRULANDI 2026-08-10 (69605 YANLISTI: bakteriyofaj)
Petriella_cinsi	42313	Petriella cinsi - DOGRULANDI 2026-08-10 (69605 YANLISTI: Enterobacteria phage FSalpha)
Metanomikrobiyales_hidrojenotrof	2191	Methanomicrobiales takimi, NCBI Taxonomy
Asetoklastik_metanojenler	94695,2905377	Methanosarcinales (94695) + Methanotrichales (2905377). 2026-08-10 OLCULDU: NCBI Methanothrix'i Methanosarcinales'ten CIKARIP kendi takimi Methanotrichales altina tasimis (soy: Methanomicrobia; Methanotrichales; Methanotrichaceae; Methanothrix). Yalniz 94695 yazilsaydi hedefin Methanothrix uyeleri hedef DISI sayilirdi. ESKI GEREKCE ("94695 Methanothrix'i kapsar") ARTIK DOGRU DEGIL - ezberden yazilmisti, zincir cekilince cikti. Methanosarcinales takimi - DOGRULANDI 2026-08-10 (2206 Methanosarcinaceae AILESIYDI; uye kumesinde Methanothrix 2223 var ve o Methanotrichaceae altinda, aile ile dislama eksik kalirdi)
Metanojen_universal	2158,2182,2191,94695,2905377,68985,570264,1235850,2202723	Methanotrichales (2905377) EKLENDI - Methanothrix orada. BUTUN metanojen takimlari (Methanobacteriales, Methanococcales, Methanomicrobiales, Methanosarcinales, Methanopyrales, Methanocellales, Methanomassiliicoccales, Methanonatronarchaeales). Metanojenler tek bir takson degil, birkac takima yayilmistir; Archaea dislansaydi metanojen olmayan bir arkeyi tutmasi GIZLENIRDI. Kalan her urun hedef disidir.
Mantar_universal (F1)	4751	Fungi alemi. Kalan her urun mantar disidir (bitki urunu uyarisi bu katmanda olculur).
Mantar_universal (F2)	4751	Fungi alemi. Kalan her urun mantar disidir (bitki urunu uyarisi bu katmanda olculur).
Bakteri_universal	2	Bacteria alani. Kalan her urun bakteri disidir - kloroplast ve mitokondri urunleri tam olarak burada gorunur.
Arke_universal	2157	Archaea alani. Kalan her urun arke disidir.
